nim,tgl_lahir,ipk,sks,bobot,ta,lama_studi,tgl_yudisium
C12.2016.00650,,3.56,151,0.0,20202,5.0,2021-08-31
C12.2017.00689,,3.52,147,0.0,20202,4.0,2021-08-31
C12.2017.00690,1991-07-22,3.57,147,0.0,20202,4.0,2021-08-31
C12.2017.00704,,3.52,147,0.0,20202,4.0,2021-08-31
C12.2017.00724,,3.17,149,0.0,20202,4.0,2021-08-31
C12.2017.00726,,3.46,147,0.0,20202,4.0,2021-08-31
P31.2016.01981,,3.82,42,0.0,20202,5.0,2021-08-30
P31.2017.02022,,3.18,42,0.0,20202,4.0,2021-08-30
A11.2014.08054,1996-04-09,3.18,144,0.0,20202,7.0,2021-08-30
A11.2014.08146,,3.01,144,0.0,20202,7.0,2021-08-30
A11.2014.08156,,2.55,146,0.0,20202,7.0,2021-08-30
A11.2014.08341,1995-11-21,2.52,145,0.0,20202,7.0,2021-08-30
A11.2014.08629,,3.14,144,0.0,20202,7.0,2021-08-30
A11.2014.08708,,2.89,147,0.0,20202,7.0,2021-08-30
A11.2015.08748,,2.87,144,0.0,20202,6.0,2021-08-30
A11.2016.09373,,3.26,145,0.0,20202,4.9,2021-08-30
A11.2016.09464,,2.56,144,0.0,20202,4.9,2021-08-30
A11.2016.09501,,3.06,145,0.0,20202,4.9,2021-08-30
A11.2016.09633,1998-10-05,2.79,144,0.0,20202,4.9,2021-08-30
A11.2016.09701,,2.98,145,0.0,20202,4.9,2021-08-30
A11.2016.09773,,3.35,144,0.0,20202,4.9,2021-08-30
A11.2017.10183,1999-08-11,3.19,146,0.0,20202,3.9,2021-08-30
A11.2017.10453,,3.22,146,0.0,20202,3.9,2021-08-30
A11.2017.10518,,3.34,146,0.0,20202,3.9,2021-08-30
A11.2017.10545,,3.34,146,0.0,20202,3.9,2021-08-30
A11.2017.10783,,2.81,146,0.0,20202,3.9,2021-08-30
A11.2017.10784,,3.43,146,0.0,20202,3.9,2021-08-30
A12.2014.05197,,2.92,144,0.0,20202,7.0,2021-08-30
A12.2015.05291,,2.72,146,0.0,20202,6.0,2021-08-30
A12.2016.05531,,2.87,145,0.0,20202,4.9,2021-08-30
A12.2017.05667,,3.2,145,0.0,20202,3.9,2021-08-30
A12.2017.05668,,3.11,145,0.0,20202,3.9,2021-08-30
A12.2017.05679,,3.09,144,0.0,20202,3.9,2021-08-30
A12.2017.05737,,3.43,145,0.0,20202,3.9,2021-08-30
A12.2017.05774,,3.51,145,0.0,20202,3.9,2021-08-30
A12.2017.05855,,3.19,144,0.0,20202,3.9,2021-08-30
A12.2017.05869,,3.14,144,0.0,20202,3.9,2021-08-30
A12.2017.05874,,3.11,144,0.0,20202,3.9,2021-08-30
A14.2016.02367,,3.12,152,0.0,20202,4.9,2021-08-30
A14.2017.02543,,3.25,147,0.0,20202,3.9,2021-08-30
A14.2017.02575,,3.36,145,0.0,20202,3.9,2021-08-30
A14.2017.02576,,2.91,147,0.0,20202,3.9,2021-08-30
A14.2017.02590,,3.0,145,0.0,20202,3.9,2021-08-30
A14.2017.02726,,2.87,145,0.0,20202,3.9,2021-08-30
A14.2017.02770,,3.0,145,0.0,20202,3.9,2021-08-30
A14.2017.02783,,3.3,145,0.0,20202,3.9,2021-08-30
A15.2014.00013,,2.94,145,0.0,20202,7.0,2021-08-30
A15.2015.00267,,3.11,146,0.0,20202,6.0,2021-08-30
A15.2016.00467,1998-06-14,3.18,144,0.0,20202,4.9,2021-08-30
A15.2016.00588,1996-11-11,3.07,148,0.0,20202,4.9,2021-08-30
A15.2016.00614,,3.15,146,0.0,20202,4.9,2021-08-30
A15.2016.00615,1998-04-12,2.9,144,0.0,20202,4.9,2021-08-30
A15.2017.00682,,3.41,149,0.0,20202,3.9,2021-08-30
A15.2017.00727,,3.31,149,0.0,20202,3.9,2021-08-30
A15.2017.00736,,3.33,155,0.0,20202,3.9,2021-08-30
A15.2017.00750,,3.67,149,0.0,20202,3.9,2021-08-30
A15.2017.00802,,3.41,149,0.0,20202,3.9,2021-08-30
A15.2017.00832,,3.57,149,0.0,20202,3.9,2021-08-30
A15.2017.00839,,3.27,149,0.0,20202,3.9,2021-08-30
A15.2017.00855,,3.38,149,0.0,20202,3.9,2021-08-30
A15.2017.00863,,3.35,149,0.0,20202,3.9,2021-08-30
A15.2017.00874,,3.28,146,0.0,20202,3.9,2021-08-30
A15.2017.00881,,3.31,146,0.0,20202,3.9,2021-08-30
A15.2017.01006,,3.45,150,0.0,20202,3.9,2021-08-30
A16.2017.00067,,3.28,150,0.0,20202,3.9,2021-08-30
A11.2015.08980,,2.67,145,0.0,20202,6.0,2021-08-30
A11.2014.08696,,2.92,145,0.0,20202,7.0,2021-08-30
A11.2017.10431,,3.4,167,0.0,20202,3.9,2021-08-30
P31.2016.01960,,3.6,45,0.0,20202,5.0,2021-08-30
P31.2016.01975,,3.31,45,0.0,20202,5.0,2021-08-30
P31.2016.01977,,3.38,45,0.0,20202,5.0,2021-08-30
A11.2014.08625,,2.87,146,0.0,20202,7.0,2021-08-30
D11.2017.02451,,3.21,145,0.0,0,4.2,2021-11-23
D11.2017.02459,,3.32,145,0.0,0,4.2,2021-11-23
D11.2017.02445,,3.17,145,0.0,0,4.2,2021-11-23
D11.2017.02380,,3.36,145,0.0,0,4.2,2021-11-23
D11.2017.02440,,3.29,145,0.0,0,4.2,2021-11-23
D11.2017.02501,,3.58,145,0.0,0,4.2,2021-11-23
D11.2019.02794,1993-09-18,3.73,145,0.0,20211,2.2,2021-11-23
D11.2017.02460,,3.28,145,0.0,0,4.2,2021-11-23
D11.2016.02290,,3.46,147,0.0,0,5.2,2021-11-23
D11.2017.02336,,3.44,145,0.0,0,4.2,2021-11-23
D11.2017.02467,,3.2,145,0.0,0,4.2,2021-11-23
D11.2017.02496,,3.42,145,0.0,0,4.2,2021-11-23
D11.2017.02531,,3.27,145,0.0,0,4.2,2021-11-23
D11.2017.02376,,3.27,145,0.0,0,4.2,2021-11-23
D11.2017.02509,,3.58,145,0.0,0,4.2,2021-11-23
D11.2017.02414,,2.92,145,0.0,0,4.2,2021-11-23
D11.2017.02452,,3.16,145,0.0,0,4.2,2021-11-23
D11.2017.02427,,3.41,145,0.0,0,4.2,2021-11-23
D11.2017.02437,,3.24,145,0.0,0,4.2,2021-11-23
D11.2017.02513,,3.21,145,0.0,0,4.2,2021-11-23
D11.2017.02431,,3.37,145,0.0,0,4.2,2021-11-23
D11.2017.02530,,3.01,145,0.0,0,4.2,2021-11-23
D12.2019.00126,,3.38,145,0.0,0,2.2,2021-11-23
D12.2019.00095,,3.39,146,0.0,0,2.2,2021-11-23
D12.2017.00025,,3.26,153,0.0,0,4.2,2021-11-23
D12.2017.00041,,3.41,153,0.0,0,4.2,2021-11-23
D12.2017.00027,,3.46,153,0.0,0,4.2,2021-11-23
D12.2017.00032,,3.64,153,0.0,0,4.2,2021-11-23
A16.2017.00066,,3.19,150,0.0,20202,3.9,2021-08-30
C11.2017.01773,,3.34,146,0.0,20211,4.2,2021-11-25
C12.2017.00699,,3.44,146,0.0,20211,4.2,2021-11-25
C12.2017.00701,,3.56,148,0.0,20211,4.2,2021-11-25
C13.2017.00036,,3.12,146,0.0,20202,4.2,2021-11-25
A11.2015.09039,,2.71,145,0.0,20202,6.0,2021-08-30
B11.2015.03697,,2.95,148,0.0,0,6.2,2021-11-25
B11.2015.03706,,3.05,147,0.0,0,6.2,2021-11-25
B11.2016.04283,,3.02,147,0.0,0,5.2,2021-11-25
B11.2017.04366,,3.14,144,0.0,0,4.2,2021-11-25
B11.2017.04446,,2.82,147,0.0,0,4.2,2021-11-25
B11.2017.04711,,3.24,147,0.0,0,4.2,2021-11-25
B11.2017.04832,,2.93,144,0.0,0,4.2,2021-11-25
B11.2017.04846,,3.01,150,0.0,0,4.2,2021-11-25
B12.2016.03215,,3.37,147,0.0,0,5.2,2021-11-25
B12.2017.03286,,3.31,149,0.0,0,4.2,2021-11-25
B12.2017.03287,,3.41,147,0.0,0,4.2,2021-11-25
B12.2017.03370,,3.66,149,0.0,0,4.2,2021-11-25
B12.2017.03408,,3.5,149,0.0,0,4.2,2021-11-25
B12.2017.03409,,3.49,149,0.0,0,4.2,2021-11-25
B12.2017.03458,,3.42,149,0.0,0,4.2,2021-11-25
B12.2017.03459,,3.38,149,0.0,0,4.2,2021-11-25
B12.2017.03463,,3.6,149,0.0,0,4.2,2021-11-25
B12.2017.03500,,3.56,149,0.0,0,4.2,2021-11-25
B12.2017.03509,,3.43,149,0.0,0,4.2,2021-11-25
B12.2017.03514,,3.28,149,0.0,0,4.2,2021-11-25
B12.2017.03537,,3.59,149,0.0,0,4.2,2021-11-25
B12.2017.03538,,3.32,149,0.0,0,4.2,2021-11-25
B12.2017.03559,,3.65,149,0.0,0,4.2,2021-11-25
B12.2017.03563,,3.3,146,0.0,0,4.2,2021-11-25
B12.2017.03565,,3.42,149,0.0,0,4.2,2021-11-25
